vendor_code,name,price,link
12028,Крышка пластиковая d=80 с закрыв носиком матовая черная PP (50/1000),2.29,https://eu-market.ru/goods/odnorazovaya-posuda/cup/kryshki-k-stakanam-250ml/kryshka-plastikovaya-d-80-s-zakryv-nosikom-chernaya-chd-100-1000.html
12025,Крышка пластиковая d=90 с закрыв носиком прозрачная PP (50/1000),2.52,https://eu-market.ru/goods/odnorazovaya-posuda/cup/kryshki-k-stakanam-300-400ml/kryshka-plastikovaya-d-90-s-zakryv-nosikom-prozrachnaya-chd-100-1000.html
12060,Крышка пластиковая d=90 с закрыв носиком матовая белая PP (50/1000),2.52,https://eu-market.ru/goods/odnorazovaya-posuda/cup/kryshki-k-stakanam-300-400ml/kryshka-plastikovaya-d-90-s-zakryv-nosikom-matovaya-belaya-chd-50-1000.html
12026,Крышка пластиковая d=90 с закрыв носиком матовая черная PP (50/1000),2.52,https://eu-market.ru/goods/odnorazovaya-posuda/cup/kryshki-k-stakanam-300-400ml/kryshka-plastikovaya-d-90-s-zakryv-nosikom-chernaya-chd-100-1000.html
12059,Крышка пластиковая d=80 с закрыв носиком матовая желтая PP (50/1000),2.29,https://eu-market.ru/goods/odnorazovaya-posuda/cup/kryshki-k-stakanam-250ml/kryshka-plastikovaya-d-80-s-zakryv-nosikom-matovaya-zheltaya-chd-50-1000.html
1628,"Крышка к контейнеру ""К-144"" прозрачная PP Stirolplast (50/300)",5.1,https://eu-market.ru/goods/odnorazovaya-posuda/universal/kryshka-k-konteyneru-k-144-prozrachnaya-stirolplast-50-300.html
1805кр,"Крышка к контейнеру ""КС-155"" ""Протэк"" (50/1200)",2.41,https://eu-market.ru/goods/odnorazovaya-posuda/sauce/kryshka-k-konteyneru-ks-155-protek-50-1000.html
1511КР/1000,"Крышка к контейнеру 179*132мм PP ""Stirolplast"" (50/1000)",3.16,https://eu-market.ru/goods/odnorazovaya-posuda/container/kryshka-k-konteyneru-179-132mm-stirolplast-50-1000.html
11409КР,Крышка для контейнера OSQ OpSalad 500мл (50/600),5.95,https://eu-market.ru/goods/odnorazovaya-posuda/kontejnery-bumazhnye/kryshka-dlya-konteynera-osq-opsalad-500ml-600.html
1927,Крышка/колпачок 38мм для бутылки желтая (3000),1.4,https://eu-market.ru/goods/odnorazovaya-posuda/bottle/kryshka-kolpachok-38mm-dlya-butylki-zheltaya-3000.html
